data,cliente,produto,categoria,quantidade,preco_unitario,regiao
27/08/2026,Cliente_048,Caderno Universitario,Papelaria,11,588.15,Sul
06/02/2026,Cliente_019,Kit Canetas,Papelaria,12,348.82,Sudeste
11/01/2026,Cliente_038,Jaqueta Corta-Vento,Vestuario,3,,Sudeste
03/06/2026,Cliente_051,Teclado Mecanico,Eletronicos,6,861.93,Centro-Oeste
08/06/2026,Cliente_035,  Organizador Multiuso   ,Casa,11,334.31,Norte
04/01/2026,CLIENTE_53,Estojo Duplo,Papelaria,8,583.4,Norte
13/02/2026,Cliente-59,Teclado Mecanico,Eletronicos,12,821.53,Centro-Oeste
11/04/2026,cliente 3,Estojo Duplo,Papelaria,2,861.3,Centro-Oeste
07/02/2026,cliente 56,Mouse Sem Fio,Eletronicos,12,671.12,Sudeste
03/02/2026,Cliente-46,  Panela de Pressao   ,Casa,5,523.84,Centro-Oeste
01/06/2026,Cliente_041,Faixa Elastica,Esporte,2,582.66,Centro-Oeste
26/05/2026,  cliente60  ,Fone de Ouvido,Eletronicos,10,692.27,Nordeste
26/07/2026,Cliente-35,  Carregador USB-C   ,Eletronicos,9,576.13,Sudeste
DATA INVALIDA,Cliente-3,  Mouse Sem Fio   ,Eletronicos,9,90.34,Sul
20/04/2026,cliente 10,Organizador Multiuso,Casa,4,608.82,Norte
09/02/2026,CLIENTE_5,Estojo Duplo,Papelaria,12,857.11,Norte
16/06/2026,Cliente_005,  Teclado Mecanico   ,Eletronicos,10,628.71,Norte
DATA INVALIDA,Cliente-11,  Tenis Casual   ,Vestuario,4,582.14,Centro-Oeste
16/05/2026,CLIENTE_30,  Luminaria de Mesa   ,Casa,3,87.55,Centro-Oeste
24/02/2026,Cliente_047,Kit Canetas,Papelaria,1,573.99,Nordeste
16/09/2026,Cliente-36,Corda de Pular,Esporte,3,212.63,Sul
17/06/2026,CLIENTE_33,Organizador Multiuso,Casa,,868.14,Norte
24/03/2026,CLIENTE_11,Kit Canetas,Papelaria,6,,Centro-Oeste
DATA INVALIDA,cliente 15,Teclado Mecanico,Eletronicos,6,827.34,Nordeste
19/05/2026,cliente 41,Camiseta Basica,Vestuario,3,349.99,Norte
12/07/2026,Cliente_059,Mochila Escolar,Papelaria,6,441.67,Centro-Oeste
07/05/2026,CLIENTE_15,  Organizador Multiuso   ,Casa,3,649.81,Sudeste
07/08/2026,Cliente_031,  Garrafa Termica   ,Esporte,11,34.86,Sul
02/03/2026,cliente 41,Kit Canetas,Papelaria,3,373.83,Sudeste
28/08/2026,CLIENTE_29,Camiseta Basica,Vestuario,4,546.74,Sudeste
20/08/2026,Cliente_047,  Mochila Escolar   ,Papelaria,4,132.01,Sudeste
20/08/2026,CLIENTE_39,Estojo Duplo,Papelaria,9,119.0,Sudeste
23/01/2026,Cliente-34,Caderno Universitario,Papelaria,4,441.68,Centro-Oeste
28/04/2026,cliente 9,  Caderno Universitario   ,Papelaria,10,376.65,Centro-Oeste
23/04/2026,Cliente-1,Caderno Universitario,Papelaria,7,151.98,Norte
25/07/2026,Cliente_024,Bone Aba Curva,Vestuario,9,441.98,Norte
24/07/2026,CLIENTE_37,Garrafa Termica,Esporte,11,218.35,Nordeste
20/09/2026,cliente 26,Mouse Sem Fio,Eletronicos,12,359.36,Norte
08/05/2026,  cliente28  ,Organizador Multiuso,Casa,10,,Norte
21/03/2026,Cliente-4,Mochila Escolar,Papelaria,1,596.34,Norte
20/04/2026,cliente 33,Panela de Pressao,Casa,1,594.69,Norte
17/04/2026,Cliente_043,Bone Aba Curva,Vestuario,,828.47,Nordeste
15/04/2026,Cliente_053,  Mochila Escolar   ,Papelaria,10,,Nordeste
26/02/2026,  cliente19  ,Fone de Ouvido,Eletronicos,5,734.64,Norte
22/08/2026,  cliente49  ,  Faixa Elastica   ,Esporte,10,441.54,Sudeste
18/09/2026,Cliente-27,  Jogo de Toalhas   ,Casa,,234.71,Nordeste
06/05/2026,CLIENTE_21,Mouse Sem Fio,Eletronicos,11,183.3,Centro-Oeste
27/04/2026,  cliente15  ,  Luminaria de Mesa   ,Casa,3,121.09,Sudeste
20/06/2026,Cliente_003,Caderno Universitario,Papelaria,10,449.36,Norte
17/01/2026,CLIENTE_49,Bone Aba Curva,Vestuario,8,43.82,Sudeste
01/01/2026,Cliente-30,Bola de Futebol,Esporte,7,303.01,Norte
12/06/2026,  cliente18  ,Luminaria de Mesa,Casa,7,635.13,Sudeste
27/04/2026,CLIENTE_37,Bone Aba Curva,Vestuario,5,506.48,Sudeste
DATA INVALIDA,Cliente-52,Jogo de Toalhas,Casa,3,766.71,Centro-Oeste
13/01/2026,cliente 36,Garrafa Termica,Esporte,3,735.23,Nordeste
26/09/2026,Cliente_024,Garrafa Termica,Esporte,1,325.72,Nordeste
16/09/2026,CLIENTE_23,  Jogo de Toalhas   ,Casa,8,352.25,Nordeste
28/07/2026,Cliente-41,Luminaria de Mesa,Casa,2,216.97,Centro-Oeste
24/06/2026,CLIENTE_57,  Bone Aba Curva   ,Vestuario,8,177.74,Nordeste
03/02/2026,cliente 11,Camiseta Basica,Vestuario,8,38.33,Sudeste
10/07/2026,CLIENTE_10,  Teclado Mecanico   ,Eletronicos,12,569.44,Norte
15/08/2026,Cliente_056,  Fone de Ouvido   ,Eletronicos,9,500.46,Nordeste
10/09/2026,Cliente-28,Organizador Multiuso,Casa,8,727.17,Norte
DATA INVALIDA,  cliente20  ,  Garrafa Termica   ,Esporte,3,430.24,Sudeste
20/05/2026,  cliente50  ,Garrafa Termica,Esporte,1,181.89,Sul
27/07/2026,Cliente_046,Corda de Pular,Esporte,5,568.41,Sudeste
28/04/2026,Cliente-52,Tenis Casual,Vestuario,3,578.65,Norte
DATA INVALIDA,Cliente-21,  Estojo Duplo   ,Papelaria,,179.55,Sudeste
16/01/2026,  cliente15  ,Organizador Multiuso,Casa,7,722.52,Sul
